201,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2790135,,,,2829627,,,,,,,,,,,
235,Total Investments in Non-Controlled/Affiliated Investments,,,162796,,,,161412,,,,,,,,,,,
265,Total Investments in Controlled Investments,,,647103,,,,653669,,,,,,,,,,,
266,Total Investments-176.2% (6)(7),,,3600034,,,,3644708,,,,,,,,,,,
