165,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,,,,,2620699,,,,2643893,,,
194,Total Investments in Non-Controlled/Affiliated Investments,,,,,,,164914,,,,156038,,,
222,Total Investments in Controlled Investments,,,,,,,394787,,,,383680,,,
223,"Total Investments-165.3% (6,7)",,,,,,,3180400,,,,3183611,,,
229,Industry Classification,"Percentage of Total Investments (at fair value) as of December 31, 2013",,,,,,,,,,,,,
264,Total Investments,100.0%,,,,,,,,,,,,,
