174,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2489490,,,,2336435,,,,,,,,,,,
211,Total Investments in Non-Controlled/Affiliated Investments,,,338429,,,,383516,,,,,,,,,,,
235,Total Investments in Controlled Investments,,,575922,,,,593963,,,,,,,,,,,
236,Total Investments-174.7% (6)(7),,,3403841,,,,3313914,,,,,,,,,,,
