293,Total Investments before Cash Equivalents and Option Contracts,,,,,2513417,,,,2495459,,,,,,,,,,,
295,Total Investments after Cash Equivalents and before Option Contracts,,,,,2525029,,,,2507071,,,,,,,,,,,
304,Industry Classification,"Percentage of Total Investments (at Fair Value) as of June 30, 2018",,,,,,,,,,,,,,,,,,,
330,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,
