313,Total Investments before Cash Equivalents and Option Contracts,,,,,2350117,,,,2324741,,,,,,,,,,,,,,,,
315,Total Investments after Cash Equivalents and before Option Contracts,,,,,2367241,,,,2341865,,,,,,,,,,,,,,,,
329,Total Investments after Cash Equivalents and Option Contracts,,,,,2366937,,,,2332774,,,(6)(7),,,,,,,,,,,,,
338,Industry Classification,"Percentage of Total Investments (at Fair Value) as of September 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,
364,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,,,,,,
