739,Total Investments before Cash Equivalents,,,3075456,,,,,2967197,,,,,,,,,,,,,,,,,,
741,Total Investments after Cash Equivalents,,,3111766,,,,,3003507,,,(6)(7),,,,,,,,,,,,,,,
808,Industry Classification,"Percentage of Total Investments (at Fair Value) as of December 31, 2019",,,,,,,,,,,,,,,,,,,,,,,,,
838,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,
