196,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2862751,,,,2848449,,,,,,,,,,,
214,Total Investments in Non-Controlled/Affiliated Investments,,,151273,,,,155399,,,,,,,,,,,
244,Total Investments in Controlled Investments,,,648994,,,,661378,,,,,,,,,,,
245,Total Investments-177.6% (6)(7),,,3663018,,,,3665226,,,,,,,,,,,
