586,Total Investments,,,,,,,,,2745829,,,,,2523173,,,(6)(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Industry Classification,"Percentage of Total Investments (at Fair Value) as of March 31, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
