617,Total Investments before Cash Equivalents,,,,,,,,,,,,,2591761,,,,,2385211,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Total Investments after Cash Equivalents,,,,,,,,,,,,,2653999,,,,,2447449,,,(6)(7),,,,,,,,,,,,,,,,,,,,,,,
927,Industry Classification,,"Percentage of Total Investments (at Fair Value) as of March 31, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Total Investments,,100.0  %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
