218,Total Investments-165.3% (6)(7)(10),,,,,,,,,2829217,,,,2548568,,,,,
238,Industry Classification,"Percentage of Total Investments (at Fair Value) as of September 30, 2016",,,,,,,,,,,,,,,,,
263,Total Investments,100.0%,,,,,,,,,,,,,,,,,
