632,Total Investments before Cash Equivalents,,,,,,,,,,,,,,,2577283,,,,,2369108,,,,,,,,,,,,,,,,,,,,,,,,
635,Total Investments after Cash Equivalents,,,,,,,,,,,,,,2577532,,,,,2369357,,,(6)(7),,,,,,,,,,,,,,,,,,,,,,
925,Industry Classification,,"Percentage of Total Investments (at Fair Value) as of September 30, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,Total Investments,,100.0  %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
