583,Total Investments,,,,,,,,,,,,,,,,2718826,,,,,2463545,,,(6)(7),,,,,,,,,,,,,,,,,,,,
890,Industry Classification,,"Percentage of Total Investments (at Fair Value) as of September 30, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Total Investments,,100.0  %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
