677,Total Investments before Cash Equivalents,,,,,,,,"$2,716,399",,,"$2,449,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,Total Investments after Cash Equivalents,,,,,,,,"$2,766,579",,,"$2,499,331",,(6)(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,Industry Classification,"Percentage of Total Investments (at Fair Value) as of March 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
