527,Total Investments before Cash Equivalents,,,,,2889762,,,,2804760,,,,,,,,,,,
529,Total Investments after Cash Equivalents,,,,,2921399,,,,2836397,,,(6)(7),,,,,,,,
577,Industry Classification,"Percentage of Total Investments (at Fair Value) as of September 30, 2019",,,,,,,,,,,,,,,,,,,
605,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,
