263,Total Investments before Cash Equivalents and Option Contracts,,,,,2402460,,,,2352562,,,,,,,,,,,
265,Total Investments after Cash Equivalents and before Option Contracts,,,,,2414682,,,,2364784,,,,,,,,,,,
273,Industry Classification,"Percentage of Total Investments (at Fair Value) as of December 31, 2017",,,,,,,,,,,,,,,,,,,
298,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,
