205,Total Investments-178.0% (6)(7),,,,,,,,,3258500,,,,3068993,,,,,
213,Industry Classification,"Percentage of Total Investments (at Fair Value) as of December 31, 2015",,,,,,,,,,,,,,,,,
239,Total Investments,100.0%,,,,,,,,,,,,,,,,,
