221,Total Investments-167.7% (6)(7)(10),,,,,,,,,2877019,,,,2526333,,,,,,,
244,Industry Classification,"Percentage of Total Investments (at Fair Value) as of December 31, 2016",,,,,,,,,,,,,,,,,,,
270,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,
