801,Total Investments before Cash Equivalents,,,,,,,,,,,,3089613,,,,,2785433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,Total Investments after Cash Equivalents,,,,,,,,,,,,3126914,,,,,2822734,,,(6)(7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Industry Classification,"Percentage of Total Investments (at Fair Value) as of March 31, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
