295,Total Investments before Cash Equivalents and Option Contracts-160.3% (10),,,,,,,,,2396283,,,,2360290,,,,,,,
302,Industry Classification,"Percentage of Total Investments (at Fair Value) as of September 30, 2017",,,,,,,,,,,,,,,,,,,
327,Total Investments,100.0%,,,,,,,,,,,,,,,,,,,
