182,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2683906,,,,2568832,,,,,,,,,,,
212,Total Investments in Non-Controlled/Affiliated Investments,,,189673,,,,198739,,,,,,,,,,,
244,Total Investments in Controlled Investments,,,715993,,,,746444,,,,,,,,,,,
245,Total Investments-176.0% (6)(7),,,3589572,,,,3514015,,,,,,,,,,,
