139,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,,,,,,,2550091,,,,2414307,
179,Total Investments in Controlled Investments,,,,,,,,,469210,,,,436092,
180,"Total Investments - 169.9%(6,7)",,,,,,,,,3019301,,,,2850399,
