,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Portfolio Company,,Industry,,Interest,,Maturity,,,Par Amount,,,Cost,,,Fair Value,,,,,
1,Investments at Fair Value - 142.29% #,,,,,,,,,,,,,,,,,,,,
2,Corporate Debt  (1)  - 133.20%,,,,,,,,,,,,,,,,,,,,
3,1st Lien/Senior Secured Debt - 42.90%,,,,,,,,,,,,,,,,,,,,
4,"Artesyn Embedded Technologies, Inc.  (2)",,"Electronic Equipment, Instruments & Components",,9.75%,,,10/15/2020,,,$,20000.0,,,$,20000,,,$,19900,
5,"Bolttech Mannings, Inc.  (3) (4)",,Commercial Services & Supplies,,L + 7.75% (1.00% Floor),,,12/21/2018,,,,10640.0,,,,(106),,,,(186),
6,Dispensing Dynamics International  (2),,Building Products,,12.50%,,,01/01/2018,,,,24000.0,,,,24836,,,,24840,
7,Heligear Acquisition Co.  (2),,Aerospace & Defense,,10.25%,,,10/15/2019,,,,17500.0,,,,17201,,,,17238,
8,Infinity Sales Group  (+),,Media,,L + 10.50% (1.00% Floor),,,11/21/2018,,,,36128.0,,,,35591,,,,33509,
9,"Iracore International Holdings, Inc.  (2)",,Energy Equipment & Services,,9.50%,,,06/01/2018,,,,24250.0,,,,20388,,,,18066,
10,Kawa Solar Holdings Limited  (5) (6),,Construction & Engineering,,F + 8.20%,,,07/02/2017,,,,12600.0,,,,12600,,,,12600,
11,Kawa Solar Holdings Limited  (5) (6),,Construction & Engineering,,L + 8.20%,,,07/02/2017,,,,2400.0,,,,2400,,,,2400,
12,Legacy Buyer Corp.  (++),,Health Care Providers & Services,,L + 8.00% (1.00% Floor),,,10/24/2019,,,,30613.0,,,,30066,,,,30153,
13,Legacy Buyer Corp.  (3) (4),,Health Care Providers & Services,,L + 8.00% (1.00% Floor),,,10/24/2019,,,,2500.0,,,,(45),,,,(37),
14,"Liquidnet Holdings, Inc.  (++)",,Capital Markets,,L + 6.75% (1.00% Floor),,,05/22/2019,,,,3511.0,,,,3468,,,,3388,
15,Madison-Kipp Corporation  (+),,Machinery,,L + 9.00% (1.00% Floor),,,05/26/2020,,,,37000.0,,,,36274,,,,36260,
16,"NTS Communications, Inc.  (++)",,Diversified Telecommunication Services,,L + 9.00% (1.25% Floor),,,06/06/2019,,,,44500.0,,,,43762,,,,43165,
17,"Perfect Commerce, LLC  (++)",,Internet Software & Services,,L + 8.50% (1.00% Floor),,,06/30/2020,,,,14000.0,,,,13654,,,,13720,
18,"Perfect Commerce, LLC  (3) (4)",,Internet Software & Services,,L + 8.50% (1.00% Floor),,,06/30/2020,,,,28500.0,,,,(127),,,,—,
19,"Vexos, Inc.  (++)",,"Electronic Equipment, Instruments & Components",,L + 9.50% (1.00% Floor),,,10/09/2019,,,,48900.0,,,,48052,,,,48044,
20,"Vexos, Inc.  (3) (4)",,"Electronic Equipment, Instruments & Components",,L + 9.50% (1.00% Floor),,,10/09/2019,,,,5000.0,,,,(84),,,,(87),
21,Total 1st Lien/Senior Secured Debt,,,,,,,,,,,,,,,307930,,,,302973,
22,1st Lien/Last-Out Unitranche  (7)  - 38.34%,,,,,,,,,,,,,,,,,,,,
23,"Associations, Inc.  (++)",,Real Estate Management & Development,,L + 7.00% (1.00% Floor),,,12/23/2019,,,,76308.0,,,,74914,,,,74973,
24,"Associations, Inc.  (++) (3)",,Real Estate Management & Development,,L + 7.00% (1.00% Floor),,,12/23/2019,,,,13002.0,,,,2363,,,,2373,
25,"Avenue Stores, LLC  (++)",,Specialty Retail,,L + 8.00% (1.00% Floor),,,09/19/2019,,,,30000.0,,,,29345,,,,29475,
26,"Bolttech Mannings, Inc.  (+)",,Commercial Services & Supplies,,L + 7.75% (1.00% Floor),,,12/21/2018,,,,33000.0,,,,32434,,,,32092,
27,"Bolttech Mannings, Inc.  (+)",,Commercial Services & Supplies,,L + 7.75% (1.00% Floor),,,12/21/2018,,,,3346.0,,,,3290,,,,3254,
28,"Mervin Manufacturing, Inc.  (++)",,Leisure Equipment & Products,,L + 7.50% (1.00% Floor),,,10/10/2019,,,,13584.0,,,,13343,,,,13109,
29,"Pro-Pet, LLC  (+)",,Household Products,,L + 7.25% (0.75% Floor),,,11/21/2019,,,,28600.0,,,,28156,,,,27384,
30,The Service Companies Inc.  (++),,Professional Services,,L + 10.25% (1.00% Floor),,,03/26/2019,,,,44900.0,,,,44182,,,,44002,
31,"United Road Services, Inc.  (+)",,Air Freight & Logistics,,L + 7.50% (1.00% Floor),,,12/14/2017,,,,44658.0,,,,44143,,,,44100,
32,Total 1st Lien/Last-Out Unitranche,,,,,,,,,,,,,,,272170,,,,270762,
33,2nd Lien/Senior Secured Debt - 51.96%,,,,,,,,,,,,,,,,,,,,
34,"Affordable Care, Inc.  (+)",,Health Care Providers & Services,,L + 9.25% (1.25% Floor),,,12/26/2019,,,,23220.0,,,,23364,,,,22872,
35,DiversiTech Corporation  (+),,Building Products,,L + 8.00% (1.00% Floor),,,11/18/2022,,,,10000.0,,,,9852,,,,9850,
36,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,11.00%,,,05/29/2019,,,,15000.0,,,,14823,,,,15300,
37,"Extraction Oil & Gas Holdings, LLC",,"Oil, Gas & Consumable Fuels",,10.00%,,,05/29/2019,,,,8412.0,,,,8303,,,,8307,
38,Global Tel*Link Corporation  (++),,Diversified Telecommunication Services,,L + 7.75% (1.25% Floor),,,11/23/2020,,,,28000.0,,,,27556,,,,26600,
39,"Highwinds Capital, Inc.  (+)",,Internet Software & Services,,L + 12.25% (1.25% Floor),,,01/29/2019,,,,59050.0,,,,58355,,,,59050,
40,"Hunter Defense Technologies, Inc.  (++)",,Aerospace & Defense,,L + 10.00% (1.00% Floor),,,02/05/2020,,,,28000.0,,,,26767,,,,27440,
41,"Hutchinson Technology, Inc.",,Computers & Peripherals,,10.88%,,,01/15/2017,,,,12200.0,,,,11918,,,,12505,
42,iFly Holdings LLC  (++),,Leisure Equipment & Products,,L + 9.00% (1.00% Floor),,,04/08/2020,,,,15000.0,,,,14731,,,,14738,
