0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Distributors,63213,-,-,%,127091,%,-,-,-,%,-,%,63213,-,0.0,0,-,127091.0,0.0,0
Air Freight & Logistics,-,-,-,%,12500,%,-,-,-,%,-,%,3771,-,0.0,0,-,12500.0,0.0,0
Aerospace & Defense,-,54841,-,%,-,%,1103751,-,-,%,-,%,1148525,-,0.0,0,34860,89701.0,2.7,%
Distributors,36.4,-,11.5,%,18866,%,-,-,-,%,-,%,74.9,-,0.8,%,-,18866.0,0.6,%
Air Freight & Logistics,-,-,0.8,%,12233,%,-,-,1.0,%,-,%,2.3,-,0.5,%,-,12233.0,0.4,%
