0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Household & Personal Products,24938,-,-,%,-,%,-,-,-,%,24938,%,0.7,%,0.0,0.0,0
Household Durables,15728,-,25895,%,-,%,-,-,-,%,41623,%,1.2,%,0.0,0.0,0
Insurance,-,-,2986,%,-,%,-,-,-,%,2986,%,0.1,%,0.0,0.0,0
Internet & Direct Marketing Retail,4813,-,35000,%,-,%,-,-,-,%,39813,%,1.2,%,0.0,0.0,0
Internet Software & Services,215791,-,14000,%,-,%,-,-,-,%,229791,%,6.7,%,0.0,0.0,0
IT Services,160588,-,21990,%,-,%,-,-,-,%,182578,%,5.4,%,0.0,0.0,0
Leisure Products,34626,-,11000,%,-,%,-,-,-,%,45626,%,1.3,%,0.0,0.0,0
Media,118655,-,2975,%,-,%,-,-,-,%,121630,%,3.6,%,0.0,0.0,0
Online Lending,-,-,-,%,-,%,17,-,-,%,17,%,-,%,0.0,0.0,0
Paper & Forest Products,-,-,11226,%,-,%,-,-,-,%,11226,%,0.3,%,0.0,0.0,0
Pharmaceuticals,-,-,12000,%,-,%,-,-,-,%,12000,%,0.3,%,0.0,0.0,0
Professional Services,9608,-,67383,%,-,%,-,-,-,%,76991,%,2.3,%,0.0,0.0,0
Real Estate Management & Development,41860,-,-,%,-,%,-,-,-,%,41860,%,1.2,%,0.0,0.0,0
Software,-,-,67265,%,-,%,-,-,-,%,67265,%,2.0,%,0.0,0.0,0
"Technology Hardware, Storage & Peripherals",-,-,12500,%,-,%,-,-,-,%,12500,%,0.4,%,0.0,0.0,0
"Textiles, Apparel & Luxury Goods",-,-,37000,%,-,%,-,-,-,%,37000,%,1.1,%,0.0,0.0,0
Tobacco,-,-,14392,%,-,%,-,-,-,%,14392,%,0.4,%,0.0,0.0,0
Trading Companies & Distributors,56199,-,-,%,-,%,-,-,-,%,56199,%,1.6,%,0.0,0.0,0
Transportation Infrastructure,-,-,28104,%,-,%,-,-,-,%,28104,%,0.8,%,0.0,0.0,0
Structured Finance (A),-,-,-,%,960194,%,-,-,-,%,960194,%,28.2,%,0.0,0.0,0
