0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Hotels, Restaurants & Leisure",103897,51952,-,%,-,%,-,-,-,%,103897,%,3.1,%,0.0,0.0,0
Household Durables,126191,51952,19992,%,-,%,-,-,-,%,146183,%,4.4,%,0.0,0.0,0
Internet Software & Services,205441,51952,13907,%,-,%,-,-,-,%,219348,%,6.5,%,0.0,0.0,0
IT Services,-,51952,20000,%,-,%,-,-,-,%,20000,%,0.6,%,0.0,0.0,0
Leisure Products,33204,51952,11000,%,-,%,-,-,-,%,44204,%,1.3,%,0.0,0.0,0
Marine (A),-,51952,8800,%,-,%,-,-,-,%,8800,%,0.3,%,0.0,0.0,0
Media,442704,51952,2971,%,-,%,-,-,-,%,445675,%,13.3,%,0.0,0.0,0
Metals & Mining,10000,51952,-,%,-,%,-,-,-,%,10000,%,0.3,%,0.0,0.0,0
Online Lending,-,51952,-,%,-,%,7964,-,-,%,7964,%,0.2,%,0.0,0.0,0
Paper & Forest Products,-,51952,11500,%,-,%,-,-,-,%,11500,%,0.3,%,0.0,0.0,0
Personal Products,179009,51952,13739,%,-,%,-,-,-,%,192748,%,5.7,%,0.0,0.0,0
Pharmaceuticals,117989,51952,-,%,-,%,-,-,-,%,117989,%,3.5,%,0.0,0.0,0
Professional Services,48131,51952,16342,%,-,%,-,-,-,%,64473,%,1.9,%,0.0,0.0,0
Software,-,51952,55150,%,-,%,-,-,-,%,55150,%,1.6,%,0.0,0.0,0
"Textiles, Apparel & Luxury Goods",225777,51952,37000,%,-,%,-,-,-,%,262777,%,7.8,%,0.0,0.0,0
Tobacco,-,51952,14431,%,-,%,-,-,-,%,14431,%,0.4,%,0.0,0.0,0
Trading Companies & Distributors,64513,51952,-,%,-,%,-,-,-,%,64513,%,1.9,%,0.0,0.0,0
Structured Finance (B),-,51952,-,%,1079712,%,-,-,-,%,1079712,%,32.2,%,0.0,0.0,0
