0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Transportation Infrastructure,26830,"Second Lien Term Loan (8.24% (LIBOR + 6.75% with 1% LIBOR floor), due 12/1/2025)(8)(10)(11)",26830.0,2985,0.8,%,2985,-,0.1%,-,0.4%,-,%,0.0,0.0,0
Structured Finance (B),26830,1067371.0,26830.0,2985,940276.0,%,28.1,%,0.1%,-,1150006.0,-,0,1079712.0,32.2,%
