0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Online Lending,-,%,-,%,-,%,7964,%,-,%,7964.0,%,0.2,%,0,0,0
Paper & Forest Products,-,%,11500,%,-,%,-,%,-,%,11500.0,%,0.3,%,0,0,0
Personal Products,179009,%,13739,%,-,%,-,%,-,%,192748.0,%,5.7,%,0,0,0
Pharmaceuticals,117989,%,-,%,-,%,-,%,-,%,117989.0,%,3.5,%,0,0,0
Professional Services,48131,%,16342,%,-,%,-,%,-,%,64473.0,%,1.9,%,0,0,0
Software,-,%,55150,%,-,%,-,%,-,%,55150.0,%,1.6,%,0,0,0
"Textiles, Apparel & Luxury Goods",225777,%,37000,%,-,%,-,%,-,%,262777.0,%,7.8,%,0,0,0
Tobacco,-,%,14431,%,-,%,-,%,-,%,14431.0,%,0.4,%,0,0,0
Trading Companies & Distributors,64513,%,-,%,-,%,-,%,-,%,64513.0,%,1.9,%,0,0,0
Structured Finance (B),-,%,-,%,1079712,%,-,%,-,%,1079712.0,%,32.2,%,0,0,0
