0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Air Freight & Logistics,Commercial Services & Supplies,-,8/23/2018,7.18% (1ML+ 7.00%),-,-,8/17/2026,12500,6973,6973,-,6662,0.2,-,%,(3)(8)(10),-,%,(3)(8)(10),-,12500.0,0.0,0
Personal Products,-,59907,-,7.18% (1ML+ 7.00%),-,-,-,-,1089079,6973,-,6662,-,-,1089079.0,(3)(8)(10),-,%,(3)(8)(10),-,59907.0,2.0,%
Diversified Consumer Services,38.2,-,-,%,1981,%,-,107412,-,%,-,%,23.0,-,73.9,%,51079,%,(3)(8)(10),5857,166329.0,5.4,%
Air Freight & Logistics,-,-,0.1,%,-,%,-,10755,-,%,-,%,0.9,-,6.1,%,-,%,(3)(8)(10),-,10755.0,0.4,%
Aerospace & Defense,80.2,54841,0.1,%,-,%,0.1,-,23.2,%,-,%,24.3,-,171.2,%,22738,%,(3)(8)(10),77579.0,0.0,0.0,0
Distributors,63213,-,-,%,127091,%,-,-,-,%,-,%,63213,-,171.2,%,-,%,(3)(8)(10),127091.0,0.0,0.0,0
Air Freight & Logistics,-,-,-,%,12500,%,-,-,-,%,-,%,3771,-,171.2,%,-,%,(3)(8)(10),12500.0,0.0,0.0,0
