0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Equity Real Estate Investment Trusts (REITs),293203,-,-,%,-,%,-,-,518712,%,811915,%,23.8,%,0.0,0.0,0
Health Care Providers & Services,197621,-,-,%,-,%,-,-,-,%,197621,%,5.8,%,0.0,0.0,0
Machinery,-,-,28622,%,-,%,-,-,3264,%,31886,%,0.9,%,0.0,0.0,0
Media,8614,-,-,%,-,%,-,-,10121,%,18735,%,0.6,%,0.0,0.0,0
Online Lending,226180,-,-,%,-,%,-,-,16881,%,243061,%,7.1,%,0.0,0.0,0
Personal Products,165020,-,-,%,-,%,-,-,-,%,165020,%,4.9,%,0.0,0.0,0
Diversified Consumer Services,32.2,-,10.9,%,7834,%,0.2,-,27.3,%,27382,%,4.9,-,35216.0,1.0,%
"Textiles, Apparel & Luxury Goods",-,-,-,%,-,%,0.2,-,23220,%,23220,%,0.7,%,0.0,0.0,0
Auto Components,-,-,0.2,%,12887,%,0.8,-,0.7,%,-,%,0.7,-,12887.0,0.4,%
Building Products,-,-,10000,%,-,%,-,-,-,%,10000,%,0.3,%,0.0,0.0,0
Capital Markets,-,-,20000,%,-,%,-,-,-,%,20000,%,0.6,%,0.0,0.0,0
Commercial Services & Supplies,89658,-,164236,%,-,%,-,-,917,%,254811,%,7.5,%,0.0,0.0,0
Communications Equipment,-,-,40000,%,-,%,-,-,-,%,40000,%,1.2,%,0.0,0.0,0
Consumer Finance,33438,-,-,%,-,%,-,-,-,%,33438,%,1.0,%,0.0,0.0,0
Distributors,343659,-,58806,%,-,%,-,-,-,%,402465,%,11.8,%,0.0,0.0,0
Diversified Consumer Services,9647,-,118289,%,-,%,-,-,-,%,127936,%,3.8,%,0.0,0.0,0
"Electronic Equipment, Instruments & Components",12335,-,14873,%,-,%,-,-,-,%,27208,%,0.8,%,0.0,0.0,0
Energy Equipment & Services,32070,-,-,%,-,%,-,-,-,%,32070,%,0.9,%,0.0,0.0,0
Food Products,-,-,9886,%,-,%,-,-,-,%,9886,%,0.3,%,0.0,0.0,0
Health Care Equipment & Supplies,35815,-,7464,%,-,%,-,-,-,%,43279,%,1.3,%,0.0,0.0,0
Health Care Providers & Services,144130,-,61933,%,-,%,-,-,446,%,206509,%,6.0,%,0.0,0.0,0
"Hotels, Restaurants & Leisure",29813,-,7482,%,-,%,-,-,-,%,37295,%,1.1,%,0.0,0.0,0
Household & Personal Products,24938,-,-,%,-,%,-,-,-,%,24938,%,0.7,%,0.0,0.0,0
Household Durables,15728,-,25895,%,-,%,-,-,-,%,41623,%,1.2,%,0.0,0.0,0
Insurance,-,-,2986,%,-,%,-,-,-,%,2986,%,0.1,%,0.0,0.0,0
Internet & Direct Marketing Retail,4813,-,35000,%,-,%,-,-,-,%,39813,%,1.2,%,0.0,0.0,0
Internet Software & Services,215791,-,14000,%,-,%,-,-,-,%,229791,%,6.7,%,0.0,0.0,0
IT Services,160588,-,21990,%,-,%,-,-,-,%,182578,%,5.4,%,0.0,0.0,0
Leisure Products,34626,-,11000,%,-,%,-,-,-,%,45626,%,1.3,%,0.0,0.0,0
Media,118655,-,2975,%,-,%,-,-,-,%,121630,%,3.6,%,0.0,0.0,0
Online Lending,-,-,-,%,-,%,17,-,-,%,17,%,-,%,0.0,0.0,0
Paper & Forest Products,-,-,11226,%,-,%,-,-,-,%,11226,%,0.3,%,0.0,0.0,0
Pharmaceuticals,-,-,12000,%,-,%,-,-,-,%,12000,%,0.3,%,0.0,0.0,0
Professional Services,9608,-,67383,%,-,%,-,-,-,%,76991,%,2.3,%,0.0,0.0,0
Real Estate Management & Development,41860,-,-,%,-,%,-,-,-,%,41860,%,1.2,%,0.0,0.0,0
Software,-,-,67265,%,-,%,-,-,-,%,67265,%,2.0,%,0.0,0.0,0
"Technology Hardware, Storage & Peripherals",-,-,12500,%,-,%,-,-,-,%,12500,%,0.4,%,0.0,0.0,0
"Textiles, Apparel & Luxury Goods",-,-,37000,%,-,%,-,-,-,%,37000,%,1.1,%,0.0,0.0,0
Tobacco,-,-,14392,%,-,%,-,-,-,%,14392,%,0.4,%,0.0,0.0,0
Trading Companies & Distributors,-,56199,14392,%,-,%,-,-,-,%,-,%,0.4,-,56199.0,1.6,%
Transportation Infrastructure,-,56199,28104,%,-,%,-,-,-,%,28104,%,0.8,%,0.0,0.0,0
Structured Finance (A),-,56199,-,%,960194,%,-,-,-,%,960194,%,28.2,%,0.0,0.0,0
